suburb,street_name,street_lower,suburb_lower
Abbotsford,Collins Bridge,collins bridge,abbotsford
Abbotsford,Studley Park Road,studley park road,abbotsford
Abbotsford,Walmer Street Bridge,walmer street bridge,abbotsford
Armadale,Adelaide Street,adelaide street,armadale
Armadale,Albany Road,albany road,armadale
Armadale,Alleyne Avenue,alleyne avenue,armadale
Armadale,Armadale Street,armadale street,armadale
Armadale,Ashleigh Road,ashleigh road,armadale
Armadale,Aubrey Street,aubrey street,armadale
Armadale,Auburn Grove,auburn grove,armadale
Armadale,Avalon Road,avalon road,armadale
Armadale,Avondale Road,avondale road,armadale
Armadale,Bailey Avenue,bailey avenue,armadale
Armadale,Baldwin Street,baldwin street,armadale
Armadale,Barkly Avenue,barkly avenue,armadale
Armadale,Barnato Grove,barnato grove,armadale
Armadale,Beatty Avenue,beatty avenue,armadale
Armadale,Bell Street,bell street,armadale
Armadale,Cambridge Street,cambridge street,armadale
Armadale,Carmyle Avenue,carmyle avenue,armadale
Armadale,Cheel Street,cheel street,armadale
Armadale,Clarendon Street,clarendon street,armadale
Armadale,Clendon Road,clendon road,armadale
Armadale,Coldblo Road,coldblo road,armadale
Armadale,Como Street,como street,armadale
Armadale,Dandenong Road,dandenong road,armadale
Armadale,Denbigh Road,denbigh road,armadale
Armadale,Denham Place,denham place,armadale
Armadale,Densham Road,densham road,armadale
Armadale,Derby Street,derby street,armadale
Armadale,Duncraig Avenue,duncraig avenue,armadale
Armadale,Edsall Street,edsall street,armadale
Armadale,Edward Place,edward place,armadale
Armadale,Egerton Road,egerton road,armadale
Armadale,Eileen Street,eileen street,armadale
Armadale,Elgin Avenue,elgin avenue,armadale
Armadale,Elm Grove,elm grove,armadale
Armadale,Embling Road,embling road,armadale
Armadale,Erskine Street,erskine street,armadale
Armadale,Evergreen Mews,evergreen mews,armadale
Armadale,Fetherston Street,fetherston street,armadale
Armadale,Flete Avenue,flete avenue,armadale
Armadale,Fulton Street,fulton street,armadale
Armadale,Garden Street,garden street,armadale
Armadale,Gladstone Avenue,gladstone avenue,armadale
Armadale,Glassford Street,glassford street,armadale
Armadale,Glenferrie Road,glenferrie road,armadale
Armadale,Gordon Grove,gordon grove,armadale
Armadale,Hampden Road,hampden road,armadale
Armadale,Haverbrack Avenue,haverbrack avenue,armadale
Armadale,Hawthorn Road,hawthorn road,armadale
Armadale,High Street,high street,armadale
Armadale,Hodge Lane,hodge lane,armadale
Armadale,Hopetoun Road,hopetoun road,armadale
Armadale,Horsburgh Grove,horsburgh grove,armadale
Armadale,Hume Street,hume street,armadale
Armadale,Huntingtower Road,huntingtower road,armadale
Armadale,Inverness Avenue,inverness avenue,armadale
Armadale,Karbarook Avenue,karbarook avenue,armadale
Armadale,Kelmscott Road,kelmscott road,armadale
Armadale,Kestle Lane,kestle lane,armadale
Armadale,Kings Arcade,kings arcade,armadale
Armadale,Kings Way,kings way,armadale
Armadale,Kooyong Road,kooyong road,armadale
Armadale,Lalbert Crescent,lalbert crescent,armadale
Armadale,Lambeth Avenue,lambeth avenue,armadale
Armadale,Larnook Street,larnook street,armadale
Armadale,Llaneast Street,llaneast street,armadale
Armadale,Maben Place,maben place,armadale
Armadale,Malvern Road,malvern road,armadale
Armadale,Mandeville Crescent,mandeville crescent,armadale
Armadale,Mercer Road,mercer road,armadale
Armadale,Mercer Way,mercer way,armadale
Armadale,Meryl Street,meryl street,armadale
Armadale,Mindanao Court,mindanao court,armadale
Armadale,Moorhouse Street,moorhouse street,armadale
Armadale,Morey Street,morey street,armadale
Armadale,Mount Pleasant Grove,mount pleasant grove,armadale
Armadale,Munro Street,munro street,armadale
Armadale,Murray Street,murray street,armadale
Armadale,Myamyn Street,myamyn street,armadale
Armadale,New Street,new street,armadale
Armadale,Northcote Road,northcote road,armadale
Armadale,Oates Lane,oates lane,armadale
Armadale,Orchard Street,orchard street,armadale
Armadale,Orrong Road,orrong road,armadale
Armadale,Osment Street,osment street,armadale
Armadale,Pelham Court,pelham court,armadale
Armadale,Periwinkle Place,periwinkle place,armadale
Armadale,Railway Avenue,railway avenue,armadale
Armadale,Redcourt Avenue,redcourt avenue,armadale
Armadale,Rose Street,rose street,armadale
Armadale,Royal Crescent,royal crescent,armadale
Armadale,Seymour Avenue,seymour avenue,armadale
Armadale,Sorrett Avenue,sorrett avenue,armadale
Armadale,St Georges Road,st georges road,armadale
Armadale,St James Road,st james road,armadale
Armadale,Stanhope Street,stanhope street,armadale
Armadale,Stuart Street,stuart street,armadale
Armadale,Sutherland Place,sutherland place,armadale
Armadale,Sutherland Road,sutherland road,armadale
Armadale,The Terrace,the terrace,armadale
Armadale,Tillotson Terrace,tillotson terrace,armadale
Armadale,Tinsley Lane,tinsley lane,armadale
Armadale,Tower Court,tower court,armadale
Armadale,Turner Street,turner street,armadale
Armadale,Union Street,union street,armadale
Armadale,Valentine Grove,valentine grove,armadale
Armadale,Valetta Street,valetta street,armadale
Armadale,Waldie Lane,waldie lane,armadale
Armadale,Watson Street,watson street,armadale
Armadale,Wattletree Road,wattletree road,armadale
Armadale,Webster Street,webster street,armadale
Armadale,West Street,west street,armadale
Armadale,William Street,william street,armadale
Armadale,Willis Street,willis street,armadale
Armadale,Winter Street,winter street,armadale
Armadale,Wynnstay Road,wynnstay road,armadale
Balwyn,AIF Street,aif street,balwyn
Balwyn,Abercrombie Street,abercrombie street,balwyn
Balwyn,Alandale Avenue,alandale avenue,balwyn
Balwyn,Angle Road,angle road,balwyn
Balwyn,Anniversary Trail,anniversary trail,balwyn
Balwyn,Austin Street,austin street,balwyn
Balwyn,Balwyn Road,balwyn road,balwyn
Balwyn,Banff Court,banff court,balwyn
